song_title,artist,duration(min),acousticness,loudness,speechiness,tempo
Sugah Daddy,D'Angelo,5.05,0.0397,-11.416,0.262,92.603
International Players Anthem,Swishahouse,5.37,0.0213,-9.682,0.386,128.289
Swerve,ILoveMakonnen,4.47,0.0454,-4.502,0.0491,114.047
Look At Wrist,Father,3.55,0.00672,-5.471,0.0645,127.975
Let It Happen,Tame Impala,7.79,0.00488,-5.866,0.0448,124.997
My Way (feat. Monty),Fetty Wap,3.55,0.00419,-3.103,0.0531,128.077
Walk,Kwabs,3.57,0.17,-3.903,0.0677,144.005
The Magnificent Seven - Remastered,The Clash,5.56,0.0604,-8.208,0.0396,116.081
NOBO,Tijuana Panthers,4.12,0.0571,-7.388,0.0374,110.815
The Gaudy Side of Town,Gayngs,7.12,0.716,-9.031,0.0475,138.034
U Mad,Vic Mensa,5,0.0151,-6.492,0.055,134.009
Slumlord,Neon Indian,5.26,0.228,-4.914,0.059,108.009
Leave A Trace,CHVRCHES,3.96,0.017,-5.822,0.0844,99.86
Willing & Able,Disclosure,4.88,0.247,-6.874,0.816,199.727
White Girl,Shy Glizzy,3.95,0.123,-5.332,0.105,129.948
Maneuvering,ILoveMakonnen,3.56,0.00705,-4.722,0.0533,130.025
Be My Baby,The Ronettes,2.68,0.181,-7.032,0.042,129.657
Why Don't They Let Us Fall in Love,The Ronettes,2.65,0.378,-5.78,0.0392,108.212
Will You Love Me Tomorrow,The Shirelles,2.7,0.677,-5.072,0.0315,135.894
One Fine Day,The Chiffons,2.11,0.488,-2.685,0.128,177.125
He's So Fine - 2000 Digital Remaster,The Chiffons,1.85,0.487,-3.265,0.0329,72.496
Then He Kissed Me,The Crystals,2.64,0.7,-7.945,0.0365,135.919
It's My Party,Lesley Gore,2.37,0.403,-7.445,0.114,128.181
Please Mr. Postman,The Marvelettes,2.49,0.656,-10.251,0.0329,121.198
Fiesta - Remix,Bomba Estéreo,3.27,0.00904,-2.536,0.143,122.906
Queen's Speech 4,Lady Leshurr,3.28,0.141,-10.113,0.548,93.287
I Know There's Gonna Be (Good Times),Jamie xx,3.56,0.119,-9.912,0.155,89.394
With That (feat. Duke),Young Thug,3.38,0.0659,-6.59,0.125,123.997
Hotline Bling,Drake,4.45,0.00257,-8.008,0.0571,134.962
679 (feat. Remy Boyz),Fetty Wap,3.28,0.00256,-5.738,0.318,190.05
Trap Queen,Fetty Wap,3.7,0.0244,-3.803,0.128,148.075
No Type,Rae Sremmurd,3.33,0.013,-7.797,0.154,125.008
Chasing Heaven,Bassnectar,5.31,0.0127,-6.24,0.0515,128.044
Speakerbox (feat. Lafa Taylor),Bassnectar,4.7,0.00943,-2.325,0.188,175.954
Movin' Bass - GTA Remix,Rick Ross,4.23,0.000758,-3.331,0.193,160.043
Danger and Dread,Brown Bird,3.77,0.674,-9.271,0.0916,209.686
Midnight City,M83,4.02,0.0161,-6.525,0.0356,105.009
Water No Get Enemy - Edit,Fela Kuti,9.86,0.107,-7.697,0.0569,90.852
Pyramids,Frank Ocean,9.88,0.0134,-6.109,0.0482,131.952
Hercules Theme,Hercules & Love Affair,4.5,0.0219,-6.177,0.0284,105.993
Rewind,Kelela,3.97,0.0452,-6.607,0.0482,132.036
My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,4.18,0.0551,-8.904,0.227,143.064
Kush,Lil Wayne,3.7,0.0224,-8.982,0.172,83.021
9,Willow,4.23,0.244,-8.704,0.193,77.021
Magnets,Disclosure,3.32,0.0668,-7.874,0.171,92.002
Don't Move,Phantogram,4.3,7.19E-05,-5.206,0.0321,99.977
Pussy,Brazilian Girls,4.13,0.0227,-6.616,0.111,92.001
Black Mags,The Cool Kids,3.19,0.103,-5.96,0.309,172.03
Stay Fly - Explicit Album Version,Three 6 Mafia,3.97,0.0956,-5.767,0.0335,133.295
Sippin On Some Syrup,Three 6 Mafia,4.37,0.00919,-4.141,0.108,136.019
Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia,2.95,0.354,-4.579,0.144,146.747
Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall,3.82,0.00469,-4.378,0.306,159.967
Gold and a Pager,The Cool Kids,3.79,0.00102,-6.335,0.263,162.003
Smell Yo D*ck,Riskay,3.74,0.0512,-13.584,0.334,116.629
Don't Wanna Lose,Ex Hex,2.46,0.0252,-3.397,0.0387,167.922
Endless Rhythm,Baio,3.23,0.221,-6.426,0.0402,122.026
Demon,Shamir,3.67,0.937,-8.412,0.0536,168.039
Nothing Ever Happened,Deerhunter,5.85,2.13E-05,-6.298,0.0332,150.162
Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,3.78,0.284,-6.954,0.327,149.97
River,Ibeyi,4.2,0.0962,-12.977,0.474,153.547
The Buzz (feat. Mataya & Young Tapz),Hermitude,3.7,0.334,-6.434,0.23,140.943
All Day,Kanye West,5.18,0.0648,-4.968,0.143,122.967
Blood On the Money,Future,4.7,0.185,-7.893,0.131,146.003
River,Leon Bridges,3.98,0.689,-10.866,0.0448,128.128
Trust Me Danny,ILoveMakonnen,4.07,0.000472,-4.982,0.0638,142.053
Big Rings,Drake,3.63,0.00157,-6.432,0.271,132.002
Annie,Neon Indian,4.04,0.0233,-6.246,0.0822,95.987
Acamar,Frankey,8.34,0.00212,-9.089,0.039,119.992
Alright,Kendrick Lamar,3.66,0.0734,-5.972,0.235,110.037
Know Yourself,Drake,4.6,0.19,-8.735,0.2,114.812
Deicide,Crystal Castles,4.91,0.188,-10.65,0.0357,131.023
Coming Home,Leon Bridges,3.44,0.461,-6.595,0.0291,112.137
Hercules Theme 2014,Hercules & Love Affair,2.94,0.0111,-9.158,0.0372,99.996
Forever,Majid Jordan,4.27,0.0496,-7.217,0.223,115.004
Next to You,Poolside,4.38,0.149,-5.245,0.04,93.984
Papi Pacify,FKA twigs,4.9,0.0682,-7.657,0.0862,109.67
Magnolia,Young & Sick,3.93,0.489,-8.467,0.031,140.04
Dark Matter,Feathers,3.95,0.000259,-7.859,0.0458,108.99
Callie (feat. Vic Mensa),Donnie Trumpet,3.09,0.217,-7.172,0.35,150.058
Wu-Tang Forever,Drake,3.63,0.0472,-8.67,0.284,99.876
Fame (2007 Remastered),David Bowie,4.35,0.228,-10.695,0.14,191.404
We Dem Boyz,Wiz Khalifa,3.75,0.00689,-4.736,0.054,130.021
Ego Free Sex Free,Autre Ne Veut,4.06,0.0109,-4.685,0.0524,104.89
Her Fantasy,Matthew Dear,6.24,0.0246,-9.542,0.0548,110.325
Little People (Black City),Matthew Dear,9.34,0.00399,-6.277,0.0439,112.014
Confess To Me,Disclosure,4.17,0.037,-7.928,0.148,124.051
Let Me Show You Love,Cut Copy,5.93,0.0789,-4.338,0.0422,99.995
New Slaves,Kanye West,4.27,0.141,-4.34,0.0898,68.456
Sexy Socialite,Chromeo,5.6,0.108,-5.099,0.0394,141.996
Okay,Holy Ghost!,4.56,0.0108,-5.379,0.0324,110.983
Weight,Mikal Cronin,3.84,0.0107,-5.004,0.0529,153.027
When A Fire Starts To Burn,Disclosure,4.73,0.0107,-6.972,0.141,123.97
When A Fire Starts To Burn - Midland Remix,Disclosure,5.14,0.0315,-7.983,0.112,122.01
Fake Tales Of San Francisco,Arctic Monkeys,3,0.00807,-4.261,0.0461,127.142
Billie Holiday,Warpaint,6.75,0.64,-11.125,0.0286,100.878
Goody Two Shoes,Duck Sauce,4.5,0.0414,-5.398,0.216,128.024
The Wire,HAIM,4.09,0.0127,-5.569,0.137,113.678
Awake,Tycho,4.73,0.0585,-5.767,0.0353,176.057
Man I Need,Jagwar Ma,3.61,0.00856,-6.307,0.0505,108.496
N.O. Bounce,Big Freedia,4.11,0.019,-2.935,0.127,100.262
Now Is Not The Time,CHVRCHES,3.75,0.0488,-7.672,0.0524,114.845
No Rest For The Wicked,Lykke Li,3.71,0.365,-7.202,0.0305,97.967
Holdin On,Flume,2.57,0.17,-4.816,0.119,90.053
Rocking Chair,The Districts,3.84,0.0346,-4.679,0.111,148.951
Marriage,Gold Panda,4.69,0.0361,-6.571,0.229,120.286
Ride On / Right On,Phosphorescent,3.75,0.00818,-7.414,0.0328,95.07
GodLovesUgly,Atmosphere,3.84,0.613,-0.307,0.314,182.126
New York City,Christopher Owens,3.25,0.00275,-7.933,0.0318,159.089
Moving to the Left,Woods,5.38,0.064,-6.365,0.0504,150.067
All These Things That I've Done,The Killers,5.03,0.00192,-6.22,0.0448,118.293
Junk of the Heart (Happy),The Kooks,3.12,0.0212,-5,0.037,145.014
When The Night Falls - feat. Solange Knowles,Chromeo,3.74,0.0516,-3.978,0.0375,121.922
Mercy,Kanye West,5.54,0.0855,-8.536,0.362,140.086
Don't You Evah,Spoon,3.57,0.0293,-4.692,0.029,120.975
We Exist,Arcade Fire,5.73,0.00731,-8.742,0.0264,116.392
Le Goudron (Edit),YACHT,3.55,0.000467,-6.603,0.0399,119.934
Double Bubble Trouble,M.I.A.,2.99,0.0411,-1.157,0.054,144.084
Careless,Dusky,6.53,0.000195,-8.102,0.0488,120.986
Look at You,George McCrae,4.66,0.827,-13.187,0.0345,106.963
How Did I Get Here,ODESZA,2.19,0.39,-6.226,0.0299,96.056
Black Out Days,Phantogram,3.79,0.00471,-3.641,0.0354,92.215
Bang! Bang!,Joe Cuba,4.14,0.827,-5.293,0.0661,126.536
Every 1's A Winner - Single Version,Hot Chocolate,4.82,0.0628,-7.393,0.0291,107.826
Unbound,Cathedrals,3.36,0.00919,-6.769,0.0364,173.954
Operate,ASTR,3.59,0.0027,-4.897,0.0435,105.997
Blood On The Leaves,Kanye West,6,0.385,-4.104,0.189,171.893
Come Save Me,Jagwar Ma,5.25,0.0304,-6.896,0.028,127.971
Hannah Montana,Migos,3.55,0.105,-3.484,0.283,135.95
High School Lover,Cayucas,3.65,0.359,-4.403,0.0573,123.033
They Come in Gold,Shabazz Palaces,3.38,0.119,-7.416,0.409,108.066
Tides of Neptune,Virgo,3.58,0.0112,-9.414,0.0296,129.952
Cocaine Model,ZHU,4.25,0.251,-6.212,0.0537,120.011
Light House,Future Islands,4.79,0.0696,-7.442,0.0334,149.988
Pass The Dutchie,Musical Youth,3.33,0.403,-5.713,0.0831,149.939
Words I Don't Remember,How To Dress Well,6.3,0.849,-13.437,0.0342,80.004
I Would Die 4 U,Prince,2.98,0.0862,-10.457,0.0321,135.406
Bless My Soul,Nightmares On Wax,5.94,0.000156,-13.443,0.121,99.989
Heaven And Hell Is On Earth,20th Century Steel Band,5.22,0.0398,-12.907,0.0579,107.363
Upper Echelon,Travis Scott,4.06,0.0448,-4.516,0.0651,122.065
Flying High (Part 1),Cloud One,6.42,0.000686,-5.754,0.0393,115.945
Go,Grimes,4.01,0.0107,-6.179,0.0327,140.012
Spill The Wine,Eric Burdon,4.03,0.377,-10.666,0.0716,120.368
Got To Give It Up (Part 1),Marvin Gaye,4.13,0.0988,-8.037,0.0401,122.416
Never Gonna Give You Up,Barry White,4.77,0.0913,-8.85,0.0859,85.125
Sanctified,Rick Ross,4.83,0.0778,-6.338,0.0708,126.012
It #1,Ty Segall,2.53,0.0608,-8.827,0.0451,114.217
Dangerous (feat. Joywave),Big Data,4.67,0.011,-3.886,0.0386,102.96
Counting,Autre Ne Veut,3.7,0.0249,-5.828,0.0319,79.925
You're the Best,Wet,2.92,0.642,-7.667,0.0367,99.946
Estrelar,Marcos Valle,5.22,0.538,-10.584,0.0765,102.652
Hold On We're Going Home,ASTR,3.18,0.0172,-7.121,0.0324,131.337
Uncle ACE,Blood Orange,4.28,0.0639,-6.445,0.0428,112.977
San Francisco,Foxygen,3.8,0.245,-7.953,0.0274,116.74
Stay High - Habits Remix,Tove Lo,4.31,0.00101,-7.036,0.0361,120.995
Crosstown Traffic,Jimi Hendrix,2.32,0.254,-5.269,0.126,113.263
Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle,2.92,0.0117,-7.317,0.31,143.311
Marijuana,Chrome Sparks,3.02,0.0626,-9.781,0.15,86.969
Crown Violet - Bonus Track,Azizi Gibson,3.13,0.479,-7.747,0.114,107.007
Glad I Met You,D. Gookin,3.37,0.0957,-7.33,0.0349,100.215
Dancing In The Rain,Blu,4.43,0.251,-6.235,0.283,180.559
You Know I'm No Good - Ghostface UK Version,Amy Winehouse,3.38,0.029,-3.593,0.0616,102.833
Kill V. Maim,Grimes,4.1,0.00744,-2.431,0.036,134.034
Life Round Here,James Blake,3.62,0.449,-9.71,0.0457,144.933
Sitting Pretty (feat. Wiz Khalifa),Ty Dolla $ign,3.44,0.275,-9.973,0.179,112.14
"Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV)",Dâm-Funk,5.37,0.212,-7.019,0.0373,95.237
Clouds Over the Pacific,James Pants,4.06,0.0559,-6.098,0.0315,141.209
Distant Land,Madlib,3.98,0.00333,-9.787,0.0445,91.412
Flashlight,Parliament,4.46,0.0332,-6.159,0.0471,106.077
Can You Get To That,Funkadelic,2.86,0.539,-8.774,0.0954,140.732
Better,Banks,3.11,0.0257,-7.459,0.0315,101.797
Pony,Pretty Sister,3.61,0.0193,-7.639,0.241,71.607
WTF (Where They From) [feat. Pharrell Williams],Missy Elliott,3.21,0.0181,-3.484,0.203,119.941
Again,Fetty Wap,5.2,0.0062,-4.421,0.072,93.019
Exchange,Bryson Tiller,3.24,0.108,-10.598,0.185,160.14
Sugar for the Queen,Bells Atlas,3.97,0.196,-8.407,0.0708,170.678
Symphony of the Nymph,Ariel Pink's Haunted Graffiti,4.58,0.667,-7.358,0.0404,120.599
Cool It Now,New Edition,5.79,0.124,-13.265,0.0686,116.556
Jumpin' Jack Flash,Ananda Shankar,3.6,0.074,-6.533,0.0307,129.424
River,Ibeyi,4.2,0.0962,-12.977,0.474,153.547
You Know You Like It - Bondax Remix,AlunaGeorge,3.19,0.455,-6.443,0.113,119.998
Batuque (Jeremy Sole & Atropolis Remix),Dom La Nena,3.83,0.015,-9.854,0.261,160.188
Mykonos (feat. Fleet Foxes),Rhythms Del Mundo,4.56,0.172,-9.699,0.0427,121.976
So Destroyed (channeling Rage Peace),Prince Rama,2.57,0.123,-6.391,0.0332,100.018
Bitch,Allie X,3.46,0.00593,-5.309,0.0266,84.957
Locket,Kilo Kish,3.02,0.174,-8.33,0.0298,139.939
Apathy,Shlohmo,5.43,0.0059,-5.762,0.0305,99.797
It All Feels Right,Washed Out,4.1,0.000304,-8.187,0.0413,79.337
Last Chance to Dance,Ekkah,3.71,0.29,-6.232,0.148,107.434
The Righteous One,The Orwells,3.59,0.00412,-4.602,0.0741,128.604
The New International Sound,GENER8ION,4.71,0.00492,-9.83,0.0777,164.032
Like Lust,MOVEMENT,4.7,0.384,-11.025,0.0356,143.98
Rhythm of Devotion,Sisyphus,6.04,0.00978,-9.357,0.0859,160.026
Zion Gate Dub,King Tubby,3.17,0.0621,-8.316,0.0936,147.73
Enjoy The Silence - Remastered Version Original,Depeche Mode,4.23,0.081,-8.08,0.0274,112.923
Fried Neck Bones And Some Home Fries - Dan The Automator Remix,Willie Bobo,4.51,0.0269,-5.025,0.036,109.998
Archangel,Burial,3.97,0.428,-10.184,0.153,135.223
"Lone Wolf and Cub (feat. Herbie Hancock, Flying Lotus, Miguel Atwood-Ferguson & Mono/poly)",Thundercat,5.48,0.699,-12.745,0.034,129.982
Skyscraper,Elephant,3.45,0.22,-3.332,0.0577,81.805
I Want You - Single Version,Marvin Gaye,3.61,0.516,-11.168,0.0656,100.518
"The New International Sound, Pt. 2 (feat. M.I.A.)",GENER8ION,3.48,0.00564,-5.197,0.0357,81.971
Suede (feat. Anderson Paak & Knxwledge),NxWorries,3.02,0.504,-5.647,0.31,117.123
Bam Bam,Sister Nancy,3.28,0.825,-6.07,0.153,165.998
Alright,Logic,3.64,0.0453,-5.109,0.0502,127.023
Rainy Streets,Blue In Green,2.61,0.259,-8.587,0.0316,93.024
Hazelton Trump,OB OBrien,2.81,0.00403,-6.438,0.342,149.902
Free Stress Test,Professor Murder,4.28,0.0141,-9.368,0.0617,141.226
I'm Ya Dogg,Snoop Dogg,4.64,0.127,-8.678,0.236,107.699
Hot Dreams,Timber Timbre,4.89,0.379,-8.83,0.0317,121.93
The Hills,The Weeknd,4.04,0.0861,-7.011,0.0798,135.553
"When They Fight, They Fight",Generationals,3.34,0.26,-1.866,0.0322,119.72
The River,Son Little,4.57,0.032,-5.201,0.0378,109.014
Rill Rill,Sleigh Bells,3.83,0.0356,-3.452,0.0501,73.048
Awake,Santé,6.2,0.0453,-8.445,0.0658,119.999
Johnny Was,Bob Marley & The Wailers,3.8,0.19,-9.827,0.0288,152.219
Monster Mash,"Bobby ""Boris"" Pickett",3.2,0.407,-14.195,0.357,69.77
Night on Bald Mountain,Modest Mussorgsky,10.99,0.854,-15.944,0.0411,103.459
Feel The Volume,Jauz,3.84,0.153,-4.912,0.0676,125.009
Water Me (feat. Leon Ware),Theophilus London,5.15,0.321,-11.004,0.0733,98.82
Kathy Lee,Jessy Lanza,4.15,0.00079,-20.815,0.0802,139.937
Love Buzz,Shocking Blue,3.76,0.0259,-9.587,0.352,121.509
Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah,3.36,0.058,-4.536,0.188,102.128
Auditorium,Mos Def,4.57,0.0498,-5.889,0.338,90.336
Disco Devil,"Lee ""Scratch"" Perry",7.87,0.0803,-8.738,0.263,77.92
Frontier Psychiatrist,The Avalanches,4.81,0.118,-7.415,0.243,98.946
Had Ten Dollaz,Cherry Glazerr,4.2,0.00189,-7.365,0.0266,168.045
Sometimes,Heems,4.03,0.0174,-6.088,0.368,96.318
VHS Sex,Com Truise,4.42,0.124,-7.82,0.0447,172.176
Ambling Alp,Yeasayer,3.92,0.00838,-6.444,0.0816,107.986
All Day And All Of The Night,The Kinks,2.36,0.429,-4.886,0.0944,136.958
Strychnine,The Sonics,2.22,0.419,-6.101,0.0504,143.299
Who Is He (And What Is He to You?),Bill Withers,3.23,0.106,-12.719,0.0378,99.346
Acamar,Frankey,3.94,0.0211,-7.787,0.0339,119.977
It Looks Like Love,Goody Goody,6.37,0.00799,-17.848,0.053,121.099
Freak Connection - Edit,Cerrone,3.87,0.00236,-6.199,0.0624,118.449
"I'll Be Good - 12"" Mix",Rene & Angela,7.44,0.0602,-11.156,0.059,108.567
Here I Come (Broader Than Broadway),Barrington Levy,3.72,0.219,-13.029,0.0605,85.023
Swords,M.I.A.,2.4,0.0138,-4.597,0.0721,89.988
Hands On The Wheel,ScHoolboy Q,3.3,0.0169,-4.527,0.0777,127.857
Kush High,Eighty4 Fly,3.18,0.315,-9.979,0.0947,85.045
Métele,Buscabulla,4.14,0.518,-12.702,0.111,87.996
What I Might Do,Ben Pearce,3.25,0.0567,-11.689,0.116,121.986
Atomic Bomb,William Onyeabor,7.99,0.0286,-8.73,0.0353,116.873
World Restart,Kindness,4.65,0.00909,-11.358,0.0747,90.986
Swingin' Party,Kindness,3.96,0.0445,-8.668,0.0397,109.953
Antidote,Travis Scott,4.4,0.119,-4.008,0.0345,131.04
Pieces,Tanlines,3.89,0.0111,-6.076,0.0334,118.001
Zombie,Fela Kuti,12.43,0.388,-5.115,0.171,131.69
Time-Out,Terror Train,1.63,2.84E-06,-5.789,0.147,159.882
Let's Lovedance Tonight - Danny Krivit Re-edit - Dk Re-Edit,Gary's Gang,5.83,0.0115,-8.427,0.0361,127.86
I'm a Dildo,No Parents,1.76,0.136,-4.182,0.0524,163.315
Do It (High School Dropout),Tayyib Ali,3.97,0.00328,-3.069,0.267,169.988
Cadillac Girl,Only Real,3.63,0.376,-5.449,0.0285,95.019
Today,Tom Scott,3.32,0.196,-5.046,0.0397,107.651
"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude,3.92,0.248,-6.591,0.315,141.345
I Choose You,Willie Hutch,3.67,0.0686,-9.485,0.0296,154.78
The Way You’d Love Her,Mac Demarco,2.61,0.602,-9.367,0.0231,92.227
Shooting Stars,Bag Raiders,3.93,0.0893,-6.195,0.0432,124.944
Bloom - Lane 8 Remix,ODESZA,5.41,0.000141,-8.521,0.046,125.012
Pacifier,Young Thug,3.96,0.0469,-5.851,0.124,117.012
Powerful,Major Lazer,3.45,0.133,-3.982,0.125,195.058
Unbreakable,Janet Jackson,3.64,0.157,-8.036,0.13,83.013
It's Strange (feat. K.Flay),Louis The Child,4.09,0.371,-7.792,0.354,85.951
Make Them Gold,CHVRCHES,3.86,0.0124,-5.437,0.0478,145.306
Don't Mean A Thing,Lapalux,5.81,0.19,-7.727,0.0602,96.478
White Lies - The Soundmen Remix,Max Frost,3.95,0.0953,-7.068,0.097,164.025
Sophia So Far,Goodnight Radio,4.33,0.27,-7.974,0.0308,170.002
Nimble Girl,Hotel Eden,4.39,0.0846,-4.528,0.127,174.144
